,id,averageScore,title.romaji
0,1,86,Cowboy Bebop
1,19,88,MONSTER
2,21,88,ONE PIECE
3,199,86,Sen to Chihiro no Kamikakushi
4,269,77,BLEACH
5,459,67,ONE PIECE (Movie)
6,460,67,ONE PIECE: Nejimaki-jima no Bouken
7,461,64,ONE PIECE: Chinjuu-jima no Chopper Oukoku
8,462,72,ONE PIECE THE MOVIE: Dead End no Bouken
9,463,67,ONE PIECE: Norowareta Seiken
10,464,77,ONE PIECE THE MOVIE: Omatsuri Danshaku to Himitsu no Shima
11,465,67,ONE PIECE THE MOVIE: Karakuri-jou no Mecha Kyohei
12,918,85,Gintama
13,1210,81,NHK ni Youkoso!
14,1535,84,DEATH NOTE
15,1575,84,Code Geass: Hangyaku no Lelouch
16,1689,71,Byousoku 5 Centimeter
17,2107,70,ONE PIECE: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi
18,2904,86,Code Geass: Hangyaku no Lelouch R2
19,3848,71,"ONE PIECE THE MOVIE: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura"
20,5114,90,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST
21,6702,71,FAIRY TAIL
22,7647,73,Arakawa Under the Bridge
23,7674,79,Bakuman.
24,9253,89,Steins;Gate
25,10030,81,Bakuman. 2
26,10087,81,Fate/Zero
27,11061,89,HUNTER×HUNTER (2011)
28,11741,85,Fate/Zero 2nd Season
29,11757,69,Sword Art Online
30,12365,83,Bakuman. 3
31,12859,79,ONE PIECE FILM: Z
32,13601,81,PSYCHO-PASS
33,14719,77,JoJo no Kimyou na Bouken (TV)
34,15809,75,Hataraku Maou-sama!
35,16498,84,Shingeki no Kyojin
36,17265,76,Log Horizon
37,20464,83,Haikyuu!!
38,20474,79,JoJo no Kimyou na Bouken: Stardust Crusaders
39,20513,71,PSYCHO-PASS 2
40,20594,65,Sword Art Online II
41,20605,75,Tokyo Ghoul
42,20623,81,Kiseijuu: Sei no Kakuritsu
43,20626,74,FAIRY TAIL (2014)
44,20661,78,Zankyou no Terror
45,20671,73,Log Horizon 2
46,20722,82,Barakamon
47,20799,82,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen
48,20832,76,Overlord
49,20850,66,Tokyo Ghoul √A
50,20920,73,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
51,20923,79,Shokugeki no Souma
52,20931,80,Death Parade
53,20954,88,Koe no Katachi
54,20958,84,Shingeki no Kyojin 2
55,20972,84,Shouwa Genroku Rakugo Shinjuu
56,20992,86,Haikyuu!! 2nd Season
57,21087,83,One Punch Man
58,21127,84,Steins;Gate 0
59,21202,79,Kono Subarashii Sekai ni Shukufuku wo!
60,21234,81,Boku dake ga Inai Machi
61,21311,77,Bungou Stray Dogs
62,21355,80,Re:Zero kara Hajimeru Isekai Seikatsu
